Country,Year,Electricity installed capacity in Total renewable energy (MW),Electricity installed capacity in Hydropower (MW),Electricity installed capacity in Wind (MW),Electricity installed capacity in Solar (MW),Electricity installed capacity in Bioenergy (MW),Electricity installed capacity in Geothermal (MW),Electricity export (GWh),Electricity import (GWh),Electricity final consumption (GWh),"Electricity generation, Total (GWh)",Electricity generated from fossil fuels (GWh),Electricity generated from nuclear power (GWh),Electricity generated from renewable sources (GWh),Electricity generated from hydropower (GWh),"Electricity generated from solar, wind, tide, wave and other sources (GWh)",Electricity generated from biofuels and waste (GWh),Electricity generated from geothermal energy (GWh),Population access to electricity-National (% of population),Population access to electricity-Urban (% of population),Population access to electricity-Rural (% of population),Electricity generation per Capita (KWh),Electricity final consumption per capita (KWh),,,,,,,,,,,,
Comoros,2018,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,29.80,76.80,70.80,0.00,6.00,6.00,0.00,0.00,0.00,81.60,96.40,75.60,92.30,35.70,,,,,,,,,,,,
Comoros,2019,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,30.80,77.40,71.20,0.00,6.30,6.20,0.00,0.00,0.00,84.00,98.20,78.20,91.00,36.10,,,,,,,,,,,,
Comoros,2020,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,31.80,81.10,74.60,0.00,6.60,6.50,0.00,0.00,0.00,NA,NA,NA,93.30,36.60,,,,,,,,,,,,
Congo Republic,2013,194.20,194.00,0.00,0.20,0.00,0.00,19.40,56.00,802.00,1514.30,543.30,0.00,971.00,971.00,0.00,0.00,0.00,42.40,60.00,10.40,318.70,168.80,,,,,,,,,,,,
Congo Republic,2014,194.50,194.00,0.00,0.50,0.00,0.00,22.30,18.00,798.00,1740.00,788.00,0.00,952.00,952.00,0.00,0.00,0.00,43.30,60.70,10.70,357.20,163.80,,,,,,,,,,,,
Congo Republic,2015,194.50,194.00,0.00,0.50,0.00,0.00,22.40,18.00,807.20,1730.50,805.50,0.00,925.00,925.00,0.00,0.00,0.00,44.20,61.70,11.00,346.40,161.60,,,,,,,,,,,,
Congo Republic,2016,201.00,200.50,0.00,0.50,0.00,0.00,22.00,18.00,805.00,1753.00,794.00,0.00,959.00,959.00,0.00,0.00,0.00,45.20,62.80,11.00,342.00,157.00,,,,,,,,,,,,
Congo Republic,2017,214.50,213.90,0.00,0.60,0.00,0.00,22.10,18.00,1554.70,1829.00,817.00,0.00,1012.00,1012.00,0.00,0.00,0.00,46.10,63.90,10.90,347.70,295.50,,,,,,,,,,,,
Congo Republic,2018,214.60,213.90,0.00,0.70,0.00,0.00,15.60,18.00,1634.40,2620.10,1525.70,0.00,1094.30,1094.30,0.00,0.00,0.00,47.20,64.80,11.60,485.20,302.70,,,,,,,,,,,,
Congo Republic,2019,214.60,213.90,0.00,0.70,0.00,0.00,15.30,17.70,1729.90,2744.70,1584.20,0.00,1160.60,1160.60,0.00,0.00,0.00,48.30,65.60,12.70,495.20,312.10,,,,,,,,,,,,
Congo Republic,2020,214.60,213.90,0.00,0.70,0.00,0.00,15.50,18.00,1765.10,2888.40,1654.30,0.00,1234.00,1234.00,0.00,0.00,0.00,NA,NA,NA,507.90,310.40,,,,,,,,,,,,
Djibouti,2013,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,447.40,82.00,79.50,0.00,2.50,0.00,2.50,0.00,0.00,56.30,66.30,22.20,91.40,499.00,,,,,,,,,,,,
Djibouti,2014,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,479.80,355.00,352.00,0.00,3.00,0.00,3.00,0.00,0.00,56.60,67.10,21.00,389.20,526.00,,,,,,,,,,,,
